Date,obs
1-Jan-80,2.3
1-Feb-80,4.35
1-Mar-80,4.85
1-Apr-80,4.95
1-May-80,4.35
1-Jun-80,4.23
1-Jul-80,3.5
1-Aug-80,3.44
1-Sep-80,3.58
1-Oct-80,3
1-Nov-80,2.93
1-Dec-80,3.35
1-Jan-81,3.85
1-Feb-81,7.17
1-Mar-81,7.81
1-Apr-81,7.87
1-May-81,7.05
1-Jun-81,6.9
1-Jul-81,6.05
1-Aug-81,6
1-Sep-81,1.65
1-Oct-81,1.96
1-Nov-81,2.25
1-Dec-81,2.1
1-Jan-82,2.2
1-Feb-82,4.05
1-Mar-82,4.15
1-Apr-82,4.3
1-May-82,4.27
1-Jun-82,4.25
1-Jul-82,5.25
1-Aug-82,6.05
1-Sep-82,6.05
1-Oct-82,6.1
1-Nov-82,2.8
1-Dec-82,7.25
1-Jan-83,8.25
1-Feb-83,8.4
1-Mar-83,8.5
1-Apr-83,8.5
1-May-83,7.7
1-Jun-83,7.35
1-Jul-83,4.475
1-Aug-83,1.6
1-Sep-83,1.69
1-Oct-83,1.78
1-Nov-83,1.87
1-Dec-83,1.81
1-Jan-84,1.75
1-Feb-84,2.283333333
1-Mar-84,2.816666667
1-Apr-84,3.35
1-May-84,3
1-Jun-84,2.65
1-Jul-84,2.3
1-Aug-84,3.625
1-Sep-84,4.95
1-Oct-84,3.875
1-Nov-84,2.8
1-Dec-84,2.85
1-Jan-85,2.9
1-Feb-85,4.183333333
1-Mar-85,5.466666667
1-Apr-85,6.75
1-May-85,5.85
1-Jun-85,4.95
1-Jul-85,4.935
1-Aug-85,4.92
1-Sep-85,4.113333333
1-Oct-85,3.306666667
1-Nov-85,2.5
1-Dec-85,3.325
1-Jan-86,4.15
1-Feb-86,6.016666667
1-Mar-86,7.883333333
1-Apr-86,9.75
1-May-86,7.5
1-Jun-86,7.5
1-Jul-86,9.05
1-Aug-86,9.35
1-Sep-86,5.72
1-Oct-86,2.45
1-Nov-86,1.85
1-Dec-86,3.1
1-Jan-87,4.25
1-Feb-87,3.85
1-Mar-87,3.9
1-Apr-87,6.97
1-May-87,7.2
1-Jun-87,7
1-Jul-87,6.7
1-Aug-87,6.52
1-Sep-87,6.31
1-Oct-87,6.1
1-Nov-87,5.82
1-Dec-87,5.49
1-Jan-88,5.61
1-Feb-88,5.8
1-Mar-88,6.15
1-Apr-88,6.8
1-May-88,6.21
1-Jun-88,5.6
1-Jul-88,5.6
1-Aug-88,5.63
1-Sep-88,5.65
1-Oct-88,5.07
1-Nov-88,5.31
1-Dec-88,5.48
1-Jan-89,5.63
1-Feb-89,5.77
1-Mar-89,6.17
1-Apr-89,6.41
1-May-89,6.47
1-Jun-89,6.51
1-Jul-89,6.39
1-Aug-89,6.35
1-Sep-89,6.23
1-Oct-89,6.15
1-Nov-89,6.27
1-Dec-89,6.35
